,수업년도,수업학기,수업번호,정원,수강,1,2,3,4,5,6,전체취소,정정취소,희망수업등록,증원인원,재수강인원
0,2021,20,15436,0,1299,991,179,62,41,40,616,630,10,0,0,10
1,2021,20,15325,300,296,273,18,4,3,2,22,26,4,821,0,4
2,2021,20,15422,200,196,136,43,9,6,6,9,13,4,580,0,
3,2021,20,15453,150,150,134,8,2,1,1,12,8,0,861,0,
4,2021,20,15447,150,145,116,19,5,2,3,18,18,4,463,0,2
5,2021,20,15184,150,148,115,31,2,3,0,5,8,1,339,0,1
6,2021,20,15368,195,192,114,60,14,9,4,40,49,7,418,5,4
7,2021,20,15322,450,442,113,88,39,20,28,348,194,8,620,0,2
8,2021,20,15460,150,150,113,22,4,3,8,9,9,0,497,0,7
9,2021,20,15448,120,119,104,12,3,0,0,11,11,1,550,0,8
10,2021,20,15456,100,100,92,7,0,0,0,4,3,0,540,0,1
11,2021,20,15454,100,99,89,5,4,1,1,7,8,1,940,0,1
12,2021,20,15176,100,121,85,10,3,3,3,46,29,9,580,30,3
13,2021,20,15284,200,199,84,55,25,20,6,34,25,1,439,0,3
14,2021,20,15286,200,195,80,59,25,13,10,55,47,5,456,0,1
15,2021,20,15111,100,130,78,17,4,1,4,35,9,0,485,30,3
16,2021,20,15451,100,100,77,16,1,2,3,12,11,0,509,0,3
17,2021,20,15433,4000,3088,72,142,257,406,554,2009,352,17,2918,0,
18,2021,20,15423,200,196,65,43,26,15,26,49,28,4,465,0,
19,2021,20,15278,70,67,63,6,0,1,0,9,12,3,323,0,3
20,2021,20,15074,100,98,61,26,9,4,0,11,13,2,283,0,3
21,2021,20,15425,200,196,60,35,19,18,10,99,45,3,411,0,25
22,2021,20,15323,450,290,59,62,43,20,27,302,223,1,417,0,
23,2021,20,15190,65,64,57,7,0,1,2,9,12,1,290,0,1
24,2021,20,15430,200,199,56,37,21,16,6,100,37,1,419,0,
25,2021,20,15223,180,171,55,46,18,19,15,112,94,7,336,0,306
26,2021,20,15424,200,196,55,35,28,20,14,81,37,4,410,0,7
27,2021,20,15429,200,200,54,42,24,14,2,98,34,0,458,0,2
28,2021,20,15428,200,195,54,38,25,27,24,64,37,5,442,0,5
29,2021,20,15427,200,196,53,34,21,14,18,83,27,3,419,0,4
30,2021,20,15431,200,198,51,39,14,21,10,102,39,1,414,0,5
31,2021,20,15426,200,194,49,34,19,22,15,95,40,5,436,0,
32,2021,20,15459,70,70,49,13,3,1,4,8,8,0,332,0,
33,2021,20,15310,60,55,48,8,3,1,2,11,18,5,190,0,
34,2021,20,15088,100,96,47,35,5,7,9,33,40,4,209,0,
35,2021,20,12292,67,66,47,7,3,2,1,9,3,0,128,0,2
36,2021,20,10272,85,92,46,31,5,7,2,20,19,0,159,8,1
37,2021,20,13253,70,89,46,15,8,2,3,21,6,0,198,19,1
38,2021,20,10214,70,69,45,18,3,4,0,31,32,4,140,3,
39,2021,20,15311,60,58,45,11,2,0,2,8,10,2,196,0,2
40,2021,20,12961,70,69,44,12,4,2,2,6,1,0,126,0,1
41,2021,20,13225,70,66,42,25,2,0,1,5,9,4,119,0,
42,2021,20,15461,100,100,42,19,12,7,10,56,46,0,368,0,
43,2021,20,15432,3500,2474,41,109,193,285,448,1897,499,14,2378,0,4
44,2021,20,11675,60,64,41,13,4,1,2,7,4,0,147,5,1
45,2021,20,15116,50,50,41,8,1,0,0,3,3,0,332,0,2
46,2021,20,15330,100,96,40,28,12,6,3,34,27,3,184,0,
47,2021,20,10905,40,67,40,0,0,1,1,26,1,0,99,27,10
48,2021,20,15449,150,150,39,30,21,16,17,70,43,0,345,0,
49,2021,20,13189,58,58,38,19,1,0,0,1,1,0,113,0,
50,2021,20,10522,48,48,38,1,0,0,0,10,1,0,112,0,2
51,2021,20,10621,40,40,38,0,0,0,0,2,0,0,109,0,1
52,2021,20,13464,60,65,37,23,1,2,2,1,1,1,128,6,
53,2021,20,10890,40,50,37,1,0,2,0,12,2,0,109,10,9
54,2021,20,15299,33,96,36,12,4,6,7,51,20,2,159,0,
55,2021,20,12958,63,62,36,10,1,1,2,13,1,1,108,0,
56,2021,20,15133,50,49,35,11,3,1,2,9,12,1,196,0,
57,2021,20,15361,40,40,35,4,2,0,0,7,8,0,239,0,2
58,2021,20,15362,40,40,35,4,1,0,1,3,4,0,416,0,
59,2021,20,10844,40,70,35,3,2,1,1,34,6,0,105,30,
60,2021,20,12247,47,40,35,3,1,0,0,6,5,0,27,0,3
61,2021,20,15296,33,94,34,16,9,3,10,45,23,5,143,0,1
62,2021,20,15268,45,39,34,9,1,1,0,6,12,5,151,0,
63,2021,20,11522,50,56,34,5,0,1,2,19,5,2,173,8,
64,2021,20,15328,150,147,33,42,23,23,16,123,113,0,226,0,1
65,2021,20,12499,40,41,33,8,3,3,3,9,18,0,62,1,9
66,2021,20,15470,1500,1198,32,70,126,159,245,776,210,5,1262,0,
67,2021,20,13228,70,68,32,30,6,2,0,0,2,2,125,0,
68,2021,20,12271,98,96,32,28,12,6,4,25,11,2,144,0,1
69,2021,20,13200,70,68,32,27,9,1,0,2,3,1,123,0,2
70,2021,20,13227,70,71,31,32,7,0,1,3,3,1,111,2,2
71,2021,20,10367,60,61,31,21,5,4,5,22,27,2,83,5,
72,2021,20,13205,60,58,31,18,5,0,0,14,11,1,146,0,1
73,2021,20,12211,50,51,31,17,2,1,1,5,6,3,88,4,1
74,2021,20,15418,200,189,30,45,26,18,17,149,96,11,224,0,7
75,2021,20,15365,50,47,30,14,6,2,0,18,23,3,106,0,2
76,2021,20,15240,40,41,30,9,1,0,0,4,3,1,108,2,2
77,2021,20,15159,40,39,30,8,1,1,0,10,11,1,117,0,
78,2021,20,15183,100,99,29,34,11,12,7,55,49,1,189,0,3
79,2021,20,15242,100,96,29,31,14,6,3,66,53,3,206,0,4
80,2021,20,13160,50,69,29,21,0,0,1,26,8,4,101,23,3
81,2021,20,15446,150,147,29,19,12,15,27,359,314,0,234,0,2
82,2021,20,15360,40,38,29,9,1,1,0,3,5,2,134,0,3
83,2021,20,11512,70,73,28,15,16,7,6,14,13,1,119,4,1
84,2021,20,10860,40,67,28,12,0,0,1,27,1,0,78,32,2
85,2021,20,12087,40,42,28,11,1,0,0,8,6,3,76,11,5
86,2021,20,15180,50,50,28,9,6,5,0,13,11,0,107,0,
87,2021,20,15118,50,49,28,9,6,3,4,15,16,1,164,0,
88,2021,20,15355,30,29,28,2,0,0,0,2,3,1,163,0,3
89,2021,20,15282,200,197,27,29,30,24,19,98,30,3,211,0,2
90,2021,20,15108,33,91,27,16,9,7,2,54,24,7,173,0,
91,2021,20,15197,50,46,27,12,4,3,2,21,23,4,124,0,13
92,2021,20,10784,40,35,27,10,1,0,0,5,8,5,74,0,
93,2021,20,15345,30,34,27,4,2,1,1,4,5,1,148,5,
94,2021,20,15262,30,30,27,3,0,0,1,7,8,0,132,0,
95,2021,20,15252,30,26,27,2,3,1,1,9,17,4,132,0,
96,2021,20,15337,30,30,27,2,3,0,0,1,3,0,134,0,
97,2021,20,15182,100,95,26,34,18,16,12,65,76,4,169,0,
98,2021,20,15458,100,98,26,21,10,14,5,73,51,1,258,0,3
99,2021,20,12828,57,56,26,13,2,2,1,16,4,0,94,0,
100,2021,20,15272,30,24,26,1,4,0,1,17,25,6,90,0,
101,2021,20,15166,150,143,25,22,20,20,18,132,94,7,253,0,
102,2021,20,15124,50,49,25,13,4,3,1,15,12,1,102,0,3
103,2021,20,15261,30,28,25,5,0,2,0,1,5,2,164,0,6
104,2021,20,15254,30,26,25,4,1,0,1,4,9,4,100,0,
105,2021,20,15351,30,30,25,3,1,0,0,2,1,0,145,0,
106,2021,20,13378,30,32,25,2,1,0,1,4,1,0,70,3,
107,2021,20,13175,85,85,24,35,19,4,1,4,2,0,132,0,1
