,수업년도,수업학기,수업번호,학년,신청순서비,신청순서비_순위,도달시간,도달시간_순위,기준시간내신청,기준시간내신청_순위,희망비,희망비_순위
0,2022,10,10316,1,0.016666666666666666,6012,5일 5시간  36.401초,5371,0,3176,0.85,4615
1,2022,10,10356,1,0.020833333333333332,5942,1분 35.459초,3434,1,2722,1.3125,2610
2,2022,10,10437,1,0.01818181818181818,5988,5일 5시간 2분 59.735초,5397,0,3176,0.8727272727272727,4541
3,2022,10,10697,1,0.025,5785,3일  23분 43.108초,5176,0,3176,0.875,4496
4,2022,10,10737,1,7.566666666666667,1287,1분 15.755초,2983,1,2934,1.25,2844
5,2022,10,10738,1,20.560000000000002,293,30.375초,1141,0,3176,1.5,1963
6,2022,10,10744,1,32.875,89,14.294초,488,1,2424,1.95,1016
7,2022,10,10754,1,7.220000000000001,1351,1분 9.340초,2836,0,3176,1.34,2511
8,2022,10,10768,1,32.42857142857143,97,3.991초,93,0,3176,2.0714285714285716,868
9,2022,10,10778,1,27.703703703703706,162,19.096초,681,15,307,1.6481481481481481,1542
10,2022,10,10781,1,12.928571428571425,587,52.969초,2242,0,3176,2.5714285714285716,501
11,2022,10,10818,1,10.64864864864865,825,1분 25.763초,3236,1,2369,1.027027027027027,3851
12,2022,10,10833,1,28.57777777777778,146,17.821초,632,15,249,2.422222222222222,586
13,2022,10,10834,1,15.075,460,49.988초,2072,1,2424,1.725,1392
14,2022,10,10835,1,2.6500000000000004,2622,3분 28.216초,3962,1,2424,0.975,4093
15,2022,10,10836,1,1.25,3464,4시간 5분 12.160초,4668,0,3176,0.95,4184
16,2022,10,10885,1,8.659574468085106,1106,1분 49.776초,3585,0,3176,1.1914893617021276,3130
17,2022,10,10886,1,27.319148936170215,169,20.191초,737,15,249,2.3404255319148937,628
18,2022,10,10887,1,24.80851063829787,210,30.569초,1144,11,345,2.127659574468085,799
19,2022,10,10888,1,2.914893617021276,2519,3분 52.585초,4007,0,3176,0.723404255319149,5091
20,2022,10,10893,1,2.625,2632,1분 30.579초,3323,0,3176,1.75,1344
21,2022,10,10894,1,7.7142857142857135,1256,1분 4.021초,2676,0,3176,3.2857142857142856,267
22,2022,10,10895,1,6.066666666666667,1573,1분 19.161초,3073,0,3176,2.2,710
23,2022,10,10896,1,16.571428571428573,408,55.575초,2363,2,686,3.0714285714285716,321
